code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603108,润达医疗,-3.412,13.02,13.2,13.26,12.3,13.48,5972977.0,2.69223,77299439.0,31.756,3.373,754553.370858,288861.339816
603106,恒银金融,-5.47,19.01,19.51,19.7,18.53,20.11,4352918.0,6.21845,83869144.0,27.551,3.418,532280.0,133070.0
603103,横店影视,-2.139,32.03,31.16,34.0,30.8,32.73,11368821.0,21.45061,371315898.0,35.989,7.448,1450959.0,169759.0
603101,汇嘉时代,-3.273,11.23,11.2,11.39,11.07,11.61,1044500.0,1.45069,11730199.0,25.575,2.097,269520.0,80856.0
603100,川仪股份,-2.004,8.8,8.89,8.9,8.5,8.98,1569366.0,0.6068100000000001,13782425.0,26.667,1.786,347600.0,227590.12848
603099,长白山,-3.575,10.52,10.78,10.78,10.31,10.91,743900.0,0.27896000000000004,7828197.0,38.963,2.943,280536.84,280536.84
603098,森特股份,-2.697,15.15,15.02,15.32,15.0,15.57,699900.0,1.11966,10613234.0,24.836,3.751,606015.15,94702.65
603096,新经典,0.712,60.79,60.0,61.58,56.0,60.36,599168.0,1.79607,35287971.0,39.993,5.593,818598.14,202795.44
603090,宏盛股份,-4.213,14.55,14.89,14.97,14.41,15.19,604120.0,1.48501,8879337.0,30.439,3.179,145500.0,59191.2915
603089,正裕工业,0.767,19.7,19.15,19.85,18.78,19.55,765149.0,2.43253,14686539.0,17.909,2.999,210139.9,61966.1136
603088,宁波精达,0.0,31.8,0.0,0.0,0.0,31.8,0.0,0.0,0.0,117.778,5.275,254400.0,254400.0
603086,先达股份,-2.412,31.15,31.31,31.31,30.11,31.92,476400.0,2.382,14652339.0,18.994,2.298,249200.0,62300.0
603085,天成自控,-1.711,25.85,26.25,26.25,25.2,26.3,2233600.0,2.82906,57712945.0,76.029,6.024,578614.73131,204090.75973
603083,剑桥科技,-4.762,34.0,34.0,35.36,33.35,35.7,2114292.0,8.64109,72410122.0,37.778,3.431,332763.287,83190.8226
603081,大丰实业,0.184,21.77,21.7,22.18,20.93,21.73,3490909.0,6.73921,76330193.0,38.193,5.989,874718.6,112768.6
603080,新疆火炬,-9.991,29.01,30.62,30.99,29.01,32.23,6222919.0,17.52935,185148112.0,25.902,6.239,410491.5,102985.5
603079,圣达生物,-9.996,47.18,47.18,47.18,47.18,52.42,70400.0,0.352,3321472.0,46.255,5.008,377440.0,94360.0
603078,江化微,-1.58,47.97,47.0,51.3,46.0,48.74,1281721.0,8.54481,62845229.0,50.267,3.849,287820.0,71955.0
603077,和邦生物,-1.914,2.05,2.07,2.08,2.01,2.09,60792320.0,0.6883800000000001,123852393.0,22.778,1.687,1810406.29674,1810406.29674
603076,乐惠国际,-2.815,27.62,27.71,28.17,27.08,28.42,766000.0,4.10724,21194565.0,20.161,3.606,205769.0,51511.3
603069,海汽集团,-3.175,8.54,8.61,8.61,8.35,8.82,2209714.0,1.27141,18760858.0,37.13,2.526,269864.0,148425.2
603067,振华股份,-3.33,10.16,10.06,10.41,9.91,10.51,2169792.0,1.95214,22045521.0,22.578,2.073,223520.0,112927.892
603066,音飞储存,0.0,11.17,0.0,0.0,0.0,11.17,0.0,0.0,0.0,13.655,3.968,337715.653209,153674.5143
603063,禾望电气,-2.646,13.98,13.81,14.12,13.81,14.36,1407400.0,2.34567,19632049.0,19.151,2.519,587160.0,83880.0
603060,国检集团,-2.672,18.21,18.49,18.49,18.0,18.71,756440.0,1.18513,13766923.0,26.674,4.042,400620.0,116229.8775
603058,永吉股份,-10.0,15.93,16.3,16.7,15.93,17.7,13832551.0,6.06515,222122113.0,71.628,8.197,671545.08,363309.138
603056,德邦股份,-4.076,20.24,19.9,22.0,19.53,21.1,28151520.0,28.15152,582611800.0,46.0,6.042,1943040.0,202400.0
603055,台华新材,-3.453,13.7,13.68,14.05,13.46,14.19,2606520.0,3.8558,35911589.0,29.149,3.423,750212.0,92612.0
603050,科林电气,-4.843,15.72,15.9,16.15,15.3,16.52,2082375.0,5.2049,32928064.0,23.463,2.69,251532.576,62892.576
603043,广州酒家,-6.141,17.27,17.84,17.87,16.8,18.4,3477205.0,6.95441,60872995.0,23.027,4.464,697701.409768,86350.0
